
Program Started
AES		 , nan		 ,  0		 ,   1FFT		 , nan		 ,  0		 ,   1SHA		 , nan		 ,  0		 ,   1BFS		 , nan		 ,  0		 ,   1KMP		 , nan		 ,  0		 ,   1GEMM		 , nan		 ,  0		 ,   1SORT		 , nan		 ,  0		 ,   1SPMV		 , nan		 ,  0		 ,   1
AES		 , 0.000		 ,  0		 ,  64FFT		 , 1.349		 ,  5		 ,  64SHA		 , 0.000		 ,  0		 ,  64BFS		 , 0.000		 ,  0		 ,  64KMP		 , 0.000		 ,  0		 ,  64GEMM		 , 0.000		 ,  0		 ,  64SORT		 , 0.000		 ,  0		 ,  64SPMV		 , 0.000		 ,  0		 ,  64
AES		 , 0.000		 ,  0		 ,  65FFT		 , 1.328		 ,  5		 ,  65SHA		 , 0.000		 ,  0		 ,  65BFS		 , 0.000		 ,  0		 ,  65KMP		 , 0.000		 ,  0		 ,  65GEMM		 , 0.000		 ,  0		 ,  65SORT		 , 0.000		 ,  0		 ,  65SPMV		 , 0.000		 ,  0		 ,  65
AES		 , 0.000		 ,  0		 ,  66FFT		 , 1.308		 ,  5		 ,  66SHA		 , 0.000		 ,  0		 ,  66BFS		 , 0.000		 ,  0		 ,  66KMP		 , 0.000		 ,  0		 ,  66GEMM		 , 0.000		 ,  0		 ,  66SORT		 , 0.000		 ,  0		 ,  66SPMV		 , 0.000		 ,  0		 ,  66
AES		 , 0.000		 ,  0		 ,  67FFT		 , 1.288		 ,  5		 ,  67SHA		 , 0.000		 ,  0		 ,  67BFS		 , 0.000		 ,  0		 ,  67KMP		 , 0.000		 ,  0		 ,  67GEMM		 , 0.000		 ,  0		 ,  67SORT		 , 0.000		 ,  0		 ,  67SPMV		 , 0.000		 ,  0		 ,  67
AES		 , 0.000		 ,  0		 ,  68FFT		 , 1.269		 ,  5		 ,  68SHA		 , 0.000		 ,  0		 ,  68BFS		 , 0.000		 ,  0		 ,  68KMP		 , 0.000		 ,  0		 ,  68GEMM		 , 0.000		 ,  0		 ,  68SORT		 , 0.000		 ,  0		 ,  68SPMV		 , 0.000		 ,  0		 ,  68
AES		 , 0.000		 ,  0		 ,  69FFT		 , 1.250		 ,  5		 ,  69SHA		 , 0.000		 ,  0		 ,  69BFS		 , 0.000		 ,  0		 ,  69KMP		 , 0.000		 ,  0		 ,  69GEMM		 , 0.000		 ,  0		 ,  69SORT		 , 0.000		 ,  0		 ,  69SPMV		 , 0.000		 ,  0		 ,  69
AES		 , 0.000		 ,  0		 ,  70FFT		 , 1.232		 ,  5		 ,  70SHA		 , 0.000		 ,  0		 ,  70BFS		 , 0.000		 ,  0		 ,  70KMP		 , 0.000		 ,  0		 ,  70GEMM		 , 0.000		 ,  0		 ,  70SORT		 , 0.000		 ,  0		 ,  70SPMV		 , 0.000		 ,  0		 ,  70
AES		 , 0.000		 ,  0		 ,  71FFT		 , 1.214		 ,  5		 ,  71SHA		 , 0.000		 ,  0		 ,  71BFS		 , 0.000		 ,  0		 ,  71KMP		 , 0.000		 ,  0		 ,  71GEMM		 , 0.000		 ,  0		 ,  71SORT		 , 0.000		 ,  0		 ,  71SPMV		 , 0.000		 ,  0		 ,  71
AES		 , 0.000		 ,  0		 ,  72FFT		 , 1.437		 ,  6		 ,  72SHA		 , 0.000		 ,  0		 ,  72BFS		 , 0.000		 ,  0		 ,  72KMP		 , 0.000		 ,  0		 ,  72GEMM		 , 0.000		 ,  0		 ,  72SORT		 , 0.000		 ,  0		 ,  72SPMV		 , 0.000		 ,  0		 ,  72
AES		 , 0.000		 ,  0		 ,  73FFT		 , 1.417		 ,  6		 ,  73SHA		 , 0.000		 ,  0		 ,  73BFS		 , 0.000		 ,  0		 ,  73KMP		 , 0.000		 ,  0		 ,  73GEMM		 , 0.000		 ,  0		 ,  73SORT		 , 0.000		 ,  0		 ,  73SPMV		 , 0.000		 ,  0		 ,  73
AES		 , 0.000		 ,  0		 ,  74FFT		 , 1.397		 ,  6		 ,  74SHA		 , 0.000		 ,  0		 ,  74BFS		 , 0.000		 ,  0		 ,  74KMP		 , 0.000		 ,  0		 ,  74GEMM		 , 0.000		 ,  0		 ,  74SORT		 , 0.000		 ,  0		 ,  74SPMV		 , 0.000		 ,  0		 ,  74
